donation_category,Count (N),Min,Max,Average,Total,Percentage
< 10rb,21112,1000.0,10000.0,3063.09,64668000.0,83.98
10rb - 25rb,1801,10020.0,25000.0,19518.25,35152372.0,7.16
25rb - 50rb,1432,25172.0,50000.0,45691.47,65430181.0,5.7
50rb - 100rb,488,50429.0,100000.0,95106.55,46411997.0,1.94
100rb - 250rb,174,100003.0,250000.0,182578.84,31768718.0,0.69
250rb - 500rb,82,250399.0,500000.0,422202.99,34620645.0,0.33
500rb - 1jt,31,500695.0,1000000.0,872881.03,27059312.0,0.12
> 1jt,20,1000062.0,10000000.0,3523819.3,70476386.0,0.08
