campaign,n,current_duration,target_donation,p1,p2,p3,p4,p5
donors_masjidkemasjid_20251221_025520.json,7020,10,250000000.0,0.948005698005698,0.0225071225071225,0.0198005698005698,0.0058404558404558,0.0038461538461538
donors_masjidramahlingkungan_20251221_225510_f.json,37,50,50000000.0,0.6216216216216216,0.054054054054054,0.1621621621621621,0.081081081081081,0.081081081081081
donors_masjidrumahtahfiz_20251221_124621.json,999,3417,5000000000.0,0.7317317317317318,0.1291291291291291,0.072072072072072,0.031031031031031,0.036036036036036
donors_masjidseko_20251221_113301.json,70,6,10000000.0,0.5142857142857142,0.1,0.1857142857142857,0.1857142857142857,0.0142857142857142
donors_masjidtambunijuk_20251221_225525_f.json,86,40,5000000000.0,0.6744186046511628,0.0697674418604651,0.1162790697674418,0.0930232558139534,0.0465116279069767
donors_muamalahsibakur_20251221_225527_f.json,60,375,300000000.0,0.8166666666666667,0.0333333333333333,0.0666666666666666,0.05,0.0333333333333333
donors_pahalajariyahwakafpembangunanmasjid_20251221_092111.json,632,71,100000000.0,0.6550632911392406,0.2104430379746835,0.0806962025316455,0.0316455696202531,0.0221518987341772
donors_pembangunanmasjidalishlah_20251221_225555_f.json,9,10,979250000.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0
donors_pembangunanmasjidbatualmaghfiroh_20251221_225602_f.json,22,10,1700000000.0,0.5454545454545454,0.1818181818181818,0.1818181818181818,0.0909090909090909,0.0
donors_pembangunanmasjidmuhammadiyahalmujahidin_20251221_124431.json,478,64,80000000.0,0.8284518828451883,0.1087866108786611,0.0418410041841004,0.0104602510460251,0.0104602510460251
donors_pembangunanmasjidtapalbatas_20251221_125448.json,69,100,1000000000.0,0.5072463768115942,0.1739130434782608,0.144927536231884,0.1014492753623188,0.072463768115942
donors_sajadahmesjid_20251221_102158.json,166,2,20000000.0,0.7108433734939759,0.144578313253012,0.0843373493975903,0.0481927710843373,0.0120481927710843
donors_sedakahpembangunanmasjiddarattaqwasalatiga_20251221_225610_f.json,161,358,350000000.0,0.6211180124223602,0.186335403726708,0.0745341614906832,0.0683229813664596,0.0496894409937888
donors_sedekahbangunmasjid712_20251221_100426.json,182,1,10000000.0,0.8296703296703297,0.1043956043956044,0.0439560439560439,0.0109890109890109,0.0109890109890109
donors_sedekahjariyahpembangunanmasjidnurullahsegawe_20251221_225635_f.json,178,1836,2210000000.0,0.848314606741573,0.0505617977528089,0.0337078651685393,0.0224719101123595,0.0449438202247191
donors_sedekahmasjidpanti_20251221_225621_f.json,78,10,100000000.0,0.5128205128205128,0.1538461538461538,0.1153846153846153,0.1666666666666666,0.0512820512820512
donors_sedekahpembangunanmasjidalhikmahkpcigelam_20251221_225625_f.json,22,11,20000000.0,0.8636363636363636,0.0909090909090909,0.0454545454545454,0.0,0.0
donors_sedekahpembangunantempatwudhu_20251221_230133_f.json,4032,10,100000000.0,0.9015376984126984,0.0367063492063492,0.0394345238095238,0.0146329365079365,0.007688492063492
donors_sedekahuntukpembangunanmasjiddanmadrasah_20251221_225637_f.json,9,10,900000000.0,0.5555555555555556,0.3333333333333333,0.0,0.0,0.1111111111111111
donors_sedihbantubangunkembalimushollayatim_20251221_100958.json,192,1,9250000.0,0.7552083333333334,0.1145833333333333,0.0885416666666666,0.03125,0.0104166666666666
donors_sempurnakanpembangunanmasjidtunanetra_20251221_225656_f.json,142,61,200000000.0,0.6690140845070423,0.1619718309859155,0.0985915492957746,0.056338028169014,0.0140845070422535
donors_setarapulihkanmasjid_20251221_112058.json,354,10,100000000.0,0.632768361581921,0.1271186440677966,0.1101694915254237,0.0819209039548022,0.0480225988700565
donors_tuntaskanmasjiddarush_20251221_225708_f.json,416,598,426000000.0,0.7139423076923077,0.1850961538461538,0.0673076923076923,0.0216346153846153,0.0120192307692307
donors_wakafjariyahbantupembangunanmasjidalijannah_20251221_225710_f.json,30,1,45000000.0,0.8,0.0666666666666666,0.0666666666666666,0.0333333333333333,0.0333333333333333
donors_ypcalanjutbangunmasjid_20251221_225723_f.json,31,59,100000000.0,0.8709677419354839,0.1290322580645161,0.0,0.0,0.0
donors_yukbangunkembalimesjidjamaahpelosoknegeri_20251221_091836.json,260,58,25000000.0,0.823076923076923,0.1,0.0423076923076923,0.0115384615384615,0.023076923076923
donors_yukkinvestasiakhirat_20251221_124729.json,360,14,150000000.0,0.7111111111111111,0.1166666666666666,0.1111111111111111,0.0361111111111111,0.025
